change_count,formula,result
1,Δ6 = |bxy6 − bxy5|,0.0342465753424657
2,Δ7 = |bxy7 − bxy6|,0.0706916962624725
3,Δ8 = |bxy8 − bxy7|,0.037037037037037
4,Δ9 = |bxy9 − bxy8|,0.0192494174518402
5,Δ10 = |bxy10 − bxy9|,0.0056162400488676
6,Δ11 = |bxy11 − bxy10|,0.0305813779904444
7,Δ12 = |bxy12 − bxy11|,0.003971100635376
8,Δ13 = |bxy13 − bxy12|,0.0059285054303576
9,Δ14 = |bxy14 − bxy13|,0.0168889973159785
10,Δ15 = |bxy15 − bxy14|,0.0189746189255937
11,Δ16 = |bxy16 − bxy15|,0.0013022762413461
12,Δ17 = |bxy17 − bxy16|,0.0113629044427807
13,Δ18 = |bxy18 − bxy17|,0.0103879240383054
14,Δ19 = |bxy19 − bxy18|,0.0003904829296712
15,Δ20 = |bxy20 − bxy19|,0.0006412248132993
16,Δ21 = |bxy21 − bxy20|,0.005967873107778
17,Δ22 = |bxy22 − bxy21|,0.0095760696843436
18,Δ23 = |bxy23 − bxy22|,0.0006447329056764
19,Δ24 = |bxy24 − bxy23|,0.0035351801872063
20,Δ25 = |bxy25 − bxy24|,0.0021439484680263
21,Δ26 = |bxy26 − bxy25|,0.0031257275419138
22,Δ27 = |bxy27 − bxy26|,0.000345520429584
23,Δ28 = |bxy28 − bxy27|,0.0003813565967345
24,Δ29 = |bxy29 − bxy28|,0.0030883144772146
25,Δ30 = |bxy30 − bxy29|,0.0008895327115980844
